"id","time","X1","X2"
"id_001","t0",-1.7696313186842,-0.746590111864593
"id_001","t1",-0.230631569256202,0.0707812206981471
"id_001","t2",-0.206297691502262,1.24070342872578
"id_002","t0",1.93415147504393,1.70394922946767
"id_002","t1",-1.06678550761197,-0.211190079423003
"id_002","t2",-0.877824931402632,1.46287018826123
"id_003","t0",0.580227380913961,-0.494316596436975
"id_003","t1",-0.3730301988795,-0.00323338672993061
"id_003","t2",1.61454749526499,0.367271547507399
"id_004","t0",0.916782720090181,-0.16200846851471
"id_004","t1",-1.77400791952337,-1.0223678248964
"id_004","t2",1.61271860473886,-0.300937390423908
"id_005","t0",0.753620308884847,-1.99231332017608
"id_005","t1",-0.855298431914868,-1.29593842783205
"id_005","t2",-0.144398125940074,-0.155614715158228
"id_006","t0",0.0823031371497292,0.325843550871899
"id_006","t1",1.4111224666943,-0.329509256896439
"id_006","t2",0.800186466996052,2.04020891106947
"id_007","t0",1.4714437456672,0.618481240172609
"id_007","t1",1.56817950788288,0.0712235532351071
"id_007","t2",-0.137197039243685,-1.72843349057522
"id_008","t0",0.370226426387531,-0.184023165537054
"id_008","t1",-1.98361151608201,0.0906854128395496
"id_008","t2",0.274543610072615,0.389848005470558
"id_009","t0",1.6623770237143,1.36626580860348
"id_009","t1",1.22123230429751,-0.190700200052919
"id_009","t2",-0.148663689590945,-0.0166583367903642
"id_010","t0",-0.474749588042867,-1.28272617069448
"id_010","t1",-1.10603466973632,-0.932674460497176
"id_010","t2",-1.09130790129382,-2.06232305793961
"id_011","t0",0.51885427146905,0.165218215713318
"id_011","t1",1.28581326715503,-1.12913263810029
"id_011","t2",0.187890507218024,1.68569026072708
"id_012","t0",0.528899671327717,0.0885422043234937
"id_012","t1",1.3813159755006,0.585157101791312
"id_012","t2",-2.00822341504707,-0.406098690062752
"id_013","t0",1.28509345750916,0.463168415845051
"id_013","t1",-1.29222354098371,0.360902892142646
"id_013","t2",0.423154572320084,-1.10051214152218
"id_014","t0",-0.676145427733823,0.155490911288628
"id_014","t1",0.00253888254184456,1.0792238972233
