"id","time","outcome1","outcome2","outcome3","outcome4","outcome5"
"id_001","t0",-1.11440171819951,-1.59818105596865,-2.82540459744864,4.14013314673608,3.0229176654181
"id_001","t1",1.13781742098579,2.8715237978705,1.23998872676837,1.76733515362697,3.01569785644597
"id_001","t2",-0.0814704953716656,0.54812716155843,-1.44698586039665,0.0940030506057581,-0.807002612105407
"id_002","t0",3.98744741063694,-2.00107953139559,-0.997919844444209,-0.688719827432395,-0.789661287323741
"id_002","t1",1.61699398372421,1.48029986357387,-1.1587200442424,-3.78982553322363,0.0262191931581293
"id_002","t2",2.96376739887183,3.02598196639141,-0.437151165733491,1.77650475759598,-0.446248055763333
"id_003","t0",1.08670201623107,-2.22257107809549,-1.89953685641872,-3.22844067236645,0.0750893026950762
"id_003","t1",2.7914562083473,-0.375344450641147,0.169742036477996,2.16822825937988,-1.2861543112074
"id_003","t2",1.70765831134297,1.25467283435437,-2.56850028655421,1.65081019541507,1.76856101830394
"id_004","t0",1.89772889975745,-0.113686306452563,-3.0849847302243,2.73568412528469,1.14659689762729
"id_004","t1",-0.21427284803526,-2.27763580660083,-0.83596220497216,3.21858475922204,2.48798273230291
"id_004","t2",0.635646495426706,-2.6405396010869,-0.320653048491483,-1.18291401999657,1.41082871883708
"id_005","t0",0.861212975000521,0.195882699193216,-1.6114105976867,-0.176672901083009,-0.424408599801385
"id_005","t1",-1.00385634433277,0.243356113924724,0.0975834170012756,2.09017167750524,1.54598058539944
"id_005","t2",0.611571233444043,-1.714379753036,-1.53099743685291,-0.711582684985496,-1.01295613474
"id_006","t0",-0.88864605999062,-1.69369440275074,-0.97400073954595,-1.63277493370547,-0.00683240103552907
"id_006","t1",0.762777091788344,-2.58418811753156,-3.73549288753763,-1.28695212640383,-0.0269154188281424
"id_006","t2",3.72017947256244,-1.4918513766609,-0.511901230986909,-1.18498282522832,3.61616344597086
"id_007","t0",1.11258926188488,-0.214636457281268,1.65230122032386,1.54544309867218,4.3502539468277
"id_007","t1",0.218373011851588,1.29400145063847,1.41409742823135,2.30552816874036,3.09671411358693
"id_007","t2",-1.63828079198168,1.87064627996607,1.19267700126747,0.513819411484709,-0.477168900502776
"id_008","t0",-0.661536330980931,-1.96483808127403,5.33602781137089,-0.417430478950024,-0.592061891461161
"id_008","t1",-1.32474177582298,-3.50015122445394,3.65590608130934,-0.122907649010353,-0.332306759866614
"id_008","t2",2.19857713329365,-3.12043477524196,0.841143203526827,0.966877309545901,-2.42642682805676
"id_009","t0",3.2537077769661,-2.21364026482145,0.790477601374903,1.36938550444279,-3.84931518822507
"id_009","t1",2.25040713367758,0.0543466175537841,-1.14282297066675,3.28190089758812,0.202473149075484
"id_009","t2",-0.719083395928109,2.11895563381631,1.80909213355144,1.75626510994521,-0.210428521859959
"id_010","t0",-0.861147629235131,1.32482851941503,-0.372074575964305,3.8770330919007,-0.101015608900367
"id_010","t1",-1.46172761143727,1.08039271724529,1.41141384876835,1.86001365268338,-2.0295533617234
"id_010","t2",-3.66729909971036,0.550855322693923,1.56711436259237,0.693194082742663,0.0855996866793718
"id_011","t0",0.909272210124602,3.63231975424798,1.73389392868716,1.29093756947314,0.606411503683952
"id_011","t1",0.563092226772854,1.91432297876863,-0.916373612338048,1.54988680142726,0.572359758836444
"id_011","t2",1.71647148318795,-0.536293636665305,-1.367058682157,0.338209171009268,-5.76521136665805
